company_name,platform,industry,estimated_ad_volume,source,notes
Activision Blizzard (King),Both,Gaming,1000+,"Sensor Tower 2024; MediaRadar 2024","Candy Crush Saga maker; top mobile game publisher by revenue"
Adobe,Both,Tech/Software,500-1000,"Ad Age Future Titans 2024","Named in MediaRadar Future Titans of Advertising report"
Alphabet (Google),TikTok,Tech,1000+,"Adweek/MediaRadar 2024","Spent 78% more on TikTok ads in 2024 YoY"
Amazon,Both,E-commerce/Tech,1000+,"Ad Age 2025; Statista 2024; MediaRadar 2024","#1 most-advertised brand in US 2024; highest TikTok EMV ($1.03B); top 5 TikTok spender 2023"
American Eagle,TikTok,Fashion/Retail,500-1000,"inBeat Agency 2025","#InMyAEJeans challenge generated 400K+ creator participants and 3B+ views"
Apple,Both,Tech,1000+,"Marketing Brew 2024; MediaRadar 2024","Top 5 TikTok advertiser in 2023; major Meta spender"
Applegate,Meta,CPG/Food,100-500,"Catapult 2025","First major campaign in years with dramatic budget growth on Facebook and YouTube"
ASOS,TikTok,Fashion/E-commerce,500-1000,"inBeat Agency 2025","Notable TikTok video advertiser in fashion category"
Ben & Jerry's,Both,CPG/Food,100-500,"Blue Bear Creative 2024","Ran Flavor Creator contest on TikTok driving high engagement"
ByteDance,Both,Tech,1000+,"Sensor Tower 2025","Allocated 77% of US ad budget to TikTok; US ad spend up 49% YoY in 2023 and 10% in 2024"
Capital One,Meta,Finance,500-1000,"MeasureU 2024; Amra and Elma 2025","Historically among top consistent Facebook spenders via Capital One Shopping"
Cash App (Block),Both,Finance/Fintech,500-1000,"Winmo 2024; Blockchain-Ads 2025","Advertises across TikTok Facebook Instagram YouTube; partners with TikTok influencers"
CeraVe (L'Oreal),Both,Beauty/Skincare,500-1000,"Cosmetify Index 2024; GoatAgency 2024","Viral Michael Cera partnership; major TikTok and Meta advertiser"
Chanel,Both,Fashion/Luxury,500-1000,"Ad Age Future Titans 2024","Named in MediaRadar Future Titans of Advertising report"
Chime,Both,Finance/Fintech,500-1000,"Blockchain-Ads 2025","18M+ users; sweepstakes strategies on Instagram and TikTok; Facebook ads"
Chipotle,Both,Food/QSR,500-1000,"inBeat Agency 2025; Blue Bear Creative 2024","Behind the Burrito series on TikTok; mukbang creator content"
